Company Code	Curve Mnemonic	PWLS v3 Property	Curve Unit Quantity Class	LIS Curve Mnemonic	Curve Description
15	A08A	ratio	dimensionless	A08A	Amplified amplitude, 8 Hz long spacing (x10)
15	A08L	ratio	dimensionless	A08L	Amplitude, 8 Hz long spacing
15	A08M	ratio	dimensionless	A08M	Amplitude, 8 Hz medium spacing
15	A08S	ratio	dimensionless	A08S	Amplitude, 8 Hz short spacing
15	A0MC	plane angle	plane angle	A0MC	Calibrated cement map, Lamb A0
15	A0MO	plane angle	plane angle	A0MO	Calibrated and oriented cement map, Lamb A0
15	A0MR	plane angle	plane angle	A0MR	Cement map raw values, Lamb A0
15	A16L	ratio	dimensionless	A16L	Amplitude, 16 Hz long spacing
15	A16M	ratio	dimensionless	A16M	Amplitude, 16 Hz medium spacing
15	A16S	ratio	dimensionless	A16S	Amplitude, 16 Hz short spacing
15	A1A0	attenuation	logarithmic power ratio per length	A1A0	Attn, sector 1, Lamb A0
15	A1A0R	attenuation	logarithmic power ratio per length	R1A0	Attn, sector 1, Lamb A0, raw
15	A1S0	attenuation	logarithmic power ratio per length	A1S0	Attn, sector 1, Lamb S0
15	A1S0R	attenuation	logarithmic power ratio per length	R1S0	Attn, sector 1, Lamb S0, raw
15	A1SH0	attenuation	logarithmic power ratio per length	A1H0	Attn, sector 1, Shear SH0
15	A1SH0R	attenuation	logarithmic power ratio per length	R1H0	Attn, sector 1, Shear SH0, raw
15	A1SH1	attenuation	logarithmic power ratio per length	A1H1	Attn, sector 1, Shear SH1
15	A1SH1R	attenuation	logarithmic power ratio per length	R1H1	Attn, sector 1, Shear SH1, raw
15	A2A0	attenuation	logarithmic power ratio per length	A2A0	Attn, sector 2, Lamb A0
15	A2A0R	attenuation	logarithmic power ratio per length	R2A0	Attn, sector 2, Lamb A0, raw
15	A2F	electric potential	electric potential difference	A2F	Receiver voltage, far
15	A2N	electric potential	electric potential difference	A2N	Receiver voltage, near
15	A2S0	attenuation	logarithmic power ratio per length	A2S0	Attn, sector 2, Lamb S0
15	A2S0R	attenuation	logarithmic power ratio per length	R2S0	Attn, sector 2, Lamb S0, raw
15	A2SH0	attenuation	logarithmic power ratio per length	A2H0	Attn, sector 2, Shear SH0
15	A2SH0R	attenuation	logarithmic power ratio per length	R2H0	Attn, sector 2, Shear SH0, raw
15	A2SH1	attenuation	logarithmic power ratio per length	A2H1	Attn, sector 2, Shear SH1
15	A2SH1R	attenuation	logarithmic power ratio per length	R2H1	Attn, sector 2, Shear SH1, raw
15	A2TN	length	logarithmic power ratio per length	A2TN	Attenuation
15	A32L	ratio	dimensionless	A32L	Amplitude, 32 Hz long spacing
15	A32M	ratio	dimensionless	A32M	Amplitude, 32 Hz medium spacing
15	A32S	ratio	dimensionless	A32S	Amplitude, 32 Hz short spacing
15	A3A0	attenuation	logarithmic power ratio per length	A3A0	Attn, sector 3, Lamb A0
15	A3A0R	attenuation	logarithmic power ratio per length	R3A0	Attn, sector 3, Lamb A0, raw
15	A3S0	attenuation	logarithmic power ratio per length	A3S0	Attn, sector 3, Lamb S0, raw
15	A3S0R	attenuation	logarithmic power ratio per length	R3S0	Attn, sector 3, Lamb S0, raw
15	A3SH0	attenuation	logarithmic power ratio per length	A3H0	Attn, sector 3, Shear SH0, raw
15	A3SH0R	attenuation	logarithmic power ratio per length	R3H0	Attn, sector 3, Shear SH0, raw
15	A3SH1	attenuation	logarithmic power ratio per length	A3H1	Attn, sector 3, Shear SH1, raw
15	A3SH1R	attenuation	logarithmic power ratio per length	R3H1	Attn, sector 3, Shear SH1, raw
15	A4A0	attenuation	logarithmic power ratio per length	A4A0	Attn, sector 4, Lamb A0
15	A4A0R	attenuation	logarithmic power ratio per length	R4A0	Attn, sector 4, Lamb A0, raw
15	A4F	electric potential	electric potential difference	A4F	Receiver voltage, far
15	A4N	electric potential	electric potential difference	A4N	Receiver voltage, near
15	A4S0	attenuation	logarithmic power ratio per length	A4S0	Attn, sector 4, Lamb S0
15	A4S0R	attenuation	logarithmic power ratio per length	R4S0	Attn, sector 4, Lamb S0, raw
15	A4SH0	attenuation	logarithmic power ratio per length	A4H0	Attn, sector 4, Shear SH0
15	A4SH0R	attenuation	logarithmic power ratio per length	R4H0	Attn, sector 4, Shear SH0, raw
15	A4SH1	attenuation	logarithmic power ratio per length	A4H1	Attn, sector 4, Shear SH1
15	A4SH1R	attenuation	logarithmic power ratio per length	R4H1	Attn, sector 4, Shear SH1, raw
15	A4TN	length	logarithmic power ratio per length	A4TN	Attenuation
15	A5A0	attenuation	logarithmic power ratio per length	A5A0	Attn, sector 5, Lamb A0
15	A5A0R	attenuation	logarithmic power ratio per length	R5A0	Attn, sector 5, Lamb A0, raw
15	A5S0	attenuation	logarithmic power ratio per length	A5S0	Attn, sector 5, Lamb S0
15	A5S0R	attenuation	logarithmic power ratio per length	R5S0	Attn, sector 5, Lamb S0, raw
15	A5SH0	attenuation	logarithmic power ratio per length	A5H0	Attn, sector 5, Shear SH0
15	A5SH0R	attenuation	logarithmic power ratio per length	R5H0	Attn, sector 5, Shear SH0, raw
15	A5SH1	attenuation	logarithmic power ratio per length	A5H1	Attn, sector 5, Shear SH1
15	A5SH1R	attenuation	logarithmic power ratio per length	R5H1	Attn, sector 5, Shear SH1, raw
15	A6A0	attenuation	logarithmic power ratio per length	A6A0	Attn, sector 6, Lamb A0
15	A6A0R	attenuation	logarithmic power ratio per length	R6A0	Attn, sector 6, Lamb A0, raw
15	A6S0	attenuation	logarithmic power ratio per length	A6S0	Attn, sector 6, Lamb S0
15	A6S0R	attenuation	logarithmic power ratio per length	R6S0	Attn, sector 6, Lamb S0, raw
15	A6SH0	attenuation	logarithmic power ratio per length	A6H0	Attn, sector 6, Shear SH0
15	A6SH0R	attenuation	logarithmic power ratio per length	R6H0	Attn, sector 6, Shear SH0, raw
15	A6SH1	attenuation	logarithmic power ratio per length	A6H1	Attn, sector 6, Shear SH1
15	A6SH1R	attenuation	logarithmic power ratio per length	R6H1	Attn, sector 6, Shear SH1, raw
15	AAV	electric potential	electric potential difference		Average reflectance peak volts
15	AAVE	electric potential	electric potential difference	AAVE	Amplitude average
15	AAVTH	diameter	length	AAVT	Azimuthal average thickness
15	ABDC10M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 10 - Memory
